Role,Company,Skills
TENEX.AI Territory Account Manager [,TENEX.AI,"Manager, SaaS, Security"
Clariti Cloud Inc. Technical Account Manager [,Clariti Cloud Inc.,"Manager, Technical, Lead"
Zeta Global Senior Account Executive Publishers [,Zeta Global,"System, Senior, Marketing"
Sumo Logic Account Executive III [,Sumo Logic,"SaaS, Salesforce, Security"
Caylent Principal Customer Solutions Architect [,Caylent,"Architect, Design, Amazon"
Octo Horizon Software Engineer C [,Octo Horizon,"Engineer, Technical, Developer"
Vonage Healthcare Account Executive [,Vonage,"Software, Growth, API"
Smart Working Solutions Senior App & Frontend Developer AS233 [,Smart Working Solutions,"Front End, Developer, Embedded"
Junction Data Scientist [,Junction,"Python, Technical, Management"
Pave Bank Senior Site Reliability Engineer [,Pave Bank,"Crypto, System, Security"
Prophecy Partner Sales Manager [,Prophecy,"Manager, Design, Operational"
DV Trading Senior Cloud Engineer [,DV Trading,"Crypto, Cryptocurrency, Security"
ecosio Senior EDI e invoicing Integration Engineer with English and German French Italian Chinese [,ecosio,"SaaS, System, Technical"
UJET Senior Site Reliability Engineer [,UJET,"Design, System, Technical"
Hightouch Product Lead Agentic Ads Platform [,Hightouch,"Strategist, Test, Growth"
Signifyd Senior Software Engineer Cloud Platform [,Signifyd,"Software, System, Architect"
Insider One Frontend Developer Vue.js [,Insider One,"Front End, Developer, Design"
540 Senior Solutions Architect [,540,"Architect, Design, System"
GuidePoint Security CNAPP Security Engineer Mid Atlantic region [,GuidePoint Security,"InfoSec, Security, Code"
Redis Technical Support L3 Weekends [,Redis,"Redis, Sysadmin, Technical"
DoiT Senior Cloud Architect ML AI [,DoiT,"Architect, Technical, Growth"
CloudWalk Senior Engineer Platform Devops [,CloudWalk,"Security, Technical, Programmer"
Xsolla Operations Engineer Kuala Lumpur [,Xsolla,"Jira, Game, Gaming"
Trilogy Federal Cyber Security Analyst [,Trilogy Federal,"Security, Analyst, System"
Sezzle Senior Security Infrastructure Engineer [,Sezzle,"Security, Developer, Fintech"
Makpar IT Specialist II [,Makpar,"Training, Consulting, Technical"
OakNorth Staff Engineer Digital Lending [,OakNorth,"SaaS, React, Security"
WISE INTEGRATION Freelance Senior Full Stack Software Architect and Collateral Management Specialist [,WISE INTEGRATION,"Architect, Software, Design"
SharkNinja Platform Administrator [,SharkNinja,"Design, Amazon, System"
MinIO Site Reliability Engineer US West [,MinIO,"Software, Leader, Reliability"
iCapital DevOps Database Assistant Vice President [,iCapital,"Assistant, Security, Testing"
Life360 Staff DevOps Engineer [,Life360,"Security, Mobile, Engineer"
Graphcore Engineering Manager Workload Management [,Graphcore,"Manager, Technical, Software"
GHX Senior Software Engineer Python Django PostgreSQL and Vue.js [,GHX,"Python, Django, Software"
"Crunchyroll, LLC Staff DevOps Engineer [","Crunchyroll, LLC","Support, Software, Cloud"
MEMX DevOps Engineer [,MEMX,"System, Security, Software"
Kunai Senior Cloud Engineer [,Kunai,"Full-Stack, Financial, Fintech"
Nearform Technical Lead DevOps [,Nearform,"Technical, Lead, Senior"
InfStones DevOps Engineer [,InfStones,"Amazon, Web3, System"
Ubiminds Mid Level DevOps Engineer CI CD Optimization [,Ubiminds,"Design, HR, System"
Ping Identity Senior Manager Site Reliability Engineer [,Ping Identity,"Manager, SaaS, Cloud"
Ping Identity Senior Site Reliability Engineer [,Ping Identity,"Design, Software, Cloud"
Accenture Federal Services Cloud Engineer [,Accenture Federal Services,"Design, Security, Training"
Parloa Forward Deployed Engineer DevOps [,Parloa,"Technical, Code, Cloud"
Alpaca Senior Software Engineer India [,Alpaca,"Software, Crypto, Technical"
Versaterm DevSecOps Engineer DroneSense [,Versaterm,"Security, Growth, Engineer"
Anduril Industries Senior DevOps Engineer [,Anduril Industries,"Ansible, System, Security"
Higher Logic DevOps Engineer [,Higher Logic,"SaaS, Technical, Engineer"
CI&T Job 27246 DevOps Strategy & Culture Lead Brazil [,CI&T,"Design, Consulting, Technical"
Ubiminds Senior Full Stack Engineer Ruby React [,Ubiminds,"React, Design, System"
MrBeast QA Engineer [,MrBeast,"Testing, Test, Quality Assurance"
2100 NVIDIA USA Senior DevOps Architect [,2100 NVIDIA USA,"Architect, Design, Embedded"
Ubiminds Senior Full Stack Software Engineer .NET Core Angular [,Ubiminds,"Software, Design, HR"
Ubiminds Full Stack Engineer [,Ubiminds,"Design, SaaS, System"
Empassion Senior Full Stack Software Engineer [,Empassion,"Software, Design, System"
Quantum Metric Account Executive Italian Speaking [,Quantum Metric,"SaaS, Training, Support"
Zinkworks Senior Full Stack Engineer [,Zinkworks,"Front End, Security, Technical"
Caylent Senior Account Executive [,Caylent,"Amazon, Security, Training"
Tenstorrent Staff Software Engineer Cloud Infrastructure [,Tenstorrent,"Software, Cloud, Operational"
singularads.com Meta Ads Manager + Creative Producer AI Native [,singularads.com,"Marketing, Ads"
Subbly Customer Success Representative [,Subbly,Customer Support
EverAI Mid Senior AI Cinematic Video Editor [,EverAI,"Video Editor, Long-Form Video Content, Motion Graphic Design"
EverAI Mid Senior AI Video Artist [,EverAI,"Marketing, Video"
Highspot Senior Solution Consultant [,Highspot,"Consultant, Salesforce, Technical"
GuidePoint Security Account Executive [,GuidePoint Security,"Salesforce, Security, Travel"
GuidePoint Security CNAPP Security Engineer Mid Atlantic region [,GuidePoint Security,"Security, Code, C"
Obsidian Security Sr Sourcer GTM Leadership [,Obsidian Security,"SaaS, Security, Technical"
Oasis Security Regional Account Executive [,Oasis Security,"System, Security, Management"
Cogent Security Field Marketing Manager [,Cogent Security,"Manager, Security, Executive"
Cogent Security Manager Paid Social and Digital Acquisition [,Cogent Security,"Manager, SaaS, Security"
Cogent Security Director of Product Marketing [,Cogent Security,"Director, Security, Technical"
Armis Security Strategic Partner Manager GSI [,Armis Security,"Manager, Security, Growth"
Safe Security Product Marketing Manager [,Safe Security,"Manager, System, Security"
Obsidian Security Staff Platform Security Engineer Office of the CISO [,Obsidian Security,"Security, SaaS, Software"
"Envoy Global, Inc. DevOps Lead Engineer [","Envoy Global, Inc.","Design, Security, Software"
Salt Security API Security Engineer [,Salt Security,"Security, API, Engineer"
AuditBoard Enterprise Account Executive [,AuditBoard,"SaaS, Support, Growth"
Prophet Security Backend Software Engineer [,Prophet Security,"Golang, Software, Security"
